stakeholder_id,document_id
192,4188
338,542
352,5498
872,4777
1226,3823
1261,5389
1428,5530
1677,5509
1835,5114
1924,25
1938,4207
2075,5525
2271,6060
2418,2805
2428,6218
2686,2817
2768,6068
2973,6201
3015,2490
3038,4961
3160,2703
3177,3301
3243,3844
3328,3181
3335,3773
3354,2698
3356,2719
3358,2712
3379,2711
3398,2603
3404,3302
3416,3782
3424,5831
3452,273
3463,6182
3470,3382
3477,274
3481,213
3485,3768
3493,265
3494,5445
3495,292
3505,2708
3507,2704
3508,2713
3510,2701
3512,2716
3518,2696
3521,2702
3525,354
3527,2705
3528,2720
3529,3960
3530,2721
3533,2707
3534,78
3536,2709
3538,5448
3546,116
3548,103
3549,110
3552,3787
3553,358
3564,91
3567,67
3570,123
3574,319
3577,3765
3580,101
3581,4100
3582,87
3587,221
3588,3406
3593,71
3595,2565
3597,118
3598,2718
3599,117
3600,2697
3602,264
3604,112
3605,200
3606,2700
3607,2706
3608,109
3610,105
3612,2862
3617,86
3618,84
3619,83
3623,81
3626,76
3630,70
3631,68
3637,113
3638,111
3639,99
3641,82
3644,95
3645,96
3647,98
3650,238
3651,62
3652,90
4363,4612
4368,5523
4515,5524
4864,5519
7836,5522
8064,4408
8388,3720
8583,304
10102,2609
11011,2623
11070,4225
11312,1852
11781,5504
11800,3783
12214,4314
12591,5511
13063,3157
13152,6072
13384,3402
13942,2815
14041,4196
14161,5441
14210,2752
14337,6200
14366,23
14451,5739
14645,5173
14843,4014
14850,6079
15055,6165
15138,698
15245,4230
15381,4524
15427,5815
15491,4517
15621,6178
15653,6444
15668,2526
15710,3791
15804,4330
15853,419
15863,6099
15900,2297
15935,4093
16408,5465
16433,5841
16540,4353
16672,6181
16704,6237
16775,6094
17404,6135
17421,6205
17554,6272
17648,4611
17692,4967
18263,4620
18378,2837
18788,5564
18848,24
18849,1779
18850,5598
18853,283
18861,2677
18864,3164
18865,4111
21311,3324
21378,194
21380,193
21382,121
21383,119
21385,3011
21387,261
21391,262
21397,263
21398,291
21410,266
21414,199
21416,267
21419,2717
21423,269
21425,2714
21426,294
21428,270
21430,5538
21433,271
21434,108
21436,256
21437,272
21438,106
21439,5449
21445,104
21448,100
21454,306
21458,2722
21460,89
21465,85
21479,300
21484,2819
21488,275
21490,2710
21495,92
21496,227
21510,97
21513,260
21514,268
21515,277
21516,278
21517,279
21518,280
21519,281
21520,282
21521,285
21522,286
21531,3180
21562,284
21600,80
21601,234
21604,242
21605,66
21606,243
21607,63
21608,3029
21609,255
21610,60
21614,5494
21615,5057
21619,5550
21621,3187
21625,5472
21933,4218
21934,4123
21935,1820
21940,5747
21941,5919
21942,1814
21944,1961
21947,1818
21964,3802
21965,6161
21979,333
21980,303
21989,287
21990,308
21994,5569
22004,2509
22006,215
22013,244
22038,218
22044,232
22049,3009
22058,3151
22059,223
22067,2776
22142,348
22161,5545
22167,3805
22169,3203
22170,3730
22171,6144
22178,1835
22180,1792
22181,3715
22190,2818
22195,330
22196,77
22198,1358
22200,352
22206,293
22213,230
22219,241
22223,226
22225,237
22228,208
22259,3028
22279,2823
22284,122
22299,115
22310,114
22324,5063
22330,107
22331,205
22340,102
22345,2650
22349,3870
22352,363
22379,5837
22391,93
22392,94
22416,79
22427,75
22432,74
22433,73
22434,72
22445,69
22465,64
22480,3000
22481,58
22497,56
22518,307
22519,301
22520,298
22522,310
22549,210
22550,222
22554,201
22559,211
22560,235
22574,214
22577,197
22582,229
22589,288
22590,297
22601,228
22602,3798
22616,341
22617,327
22618,3021
22619,309
22621,364
22622,2998
22623,356
22625,357
22628,54
22629,3015
22631,3022
22633,3436
22643,3149
22646,2383
22648,311
22663,209
22667,198
22672,2241
