"Room","TermStartDate","TermEndDate","StartTime","Endtime","Day","Term","AcademicCareer","CourseSubject","CourseNumber","Section"
"SUR3310","2018-05-07","2018-08-03","10:30 AM","12:20 PM","Th","1184","UGRD","BUS","251","D200"
"WMC3520","2018-05-07","2018-08-03","10:30 AM","12:20 PM","Tu","1184","UGRD","BUS","251","D100"
"AQ3182","2018-05-07","2018-08-03","12:30 PM","2:20 PM","Tu","1184","UGRD","BUS","254","D100"
"RCB8100","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","320","D100"
"WMC2200","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","321","D100"
"WMC2210","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","420","D100"
"WMC2210","2018-05-07","2018-08-03","5:30 PM","8:20 PM","We","1184","UGRD","BUS","420","E100"
"BLU10921","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","421","D100"
"WMC2220","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Tu","1184","UGRD","BUS","421","E100"
"WMC2202","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Th","1184","UGRD","BUS","424","D100"
"WMC2202","2018-05-07","2018-08-03","6:30 PM","9:20 PM","Th","1184","UGRD","BUS","424","E100"
"WMC3220","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Mo","1184","UGRD","BUS","426","D100"
"SUR2600","2018-05-07","2018-08-03","9:30 AM","1:20 PM","Mo","1184","UGRD","BUS","312","D200"
"SWH10081","2018-05-07","2018-08-03","9:30 AM","1:20 PM","We","1184","UGRD","BUS","312","D100"
"WMC2220","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Th","1184","UGRD","BUS","316","E100"
"WMC3210","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Th","1184","UGRD","BUS","316","D100"
"RCB6125","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Tu","1184","UGRD","BUS","410","D100"
"WMC2202","2018-05-07","2018-08-03","5:30 PM","8:20 PM","Tu","1184","UGRD","BUS","410","E100"
"BLU10031","2018-05-07","2018-08-03","9:30 AM","1:20 PM","We","1184","UGRD","BUS","413","D100"
"BLU10011","2018-05-07","2018-08-03","8:30 AM","12:20 PM","Tu","1184","UGRD","BUS","417","D100"
"WMC3220","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Mo","1184","UGRD","BUS","418","D100"
"WMC3510","2018-05-07","2018-08-03","9:30 AM","12:20 PM","Fr","1184","UGRD","BUS","419","D100"
"WMC3520","2018-05-07","2018-08-03","5:30 PM","7:20 PM","We","1184","UGRD","BUS","272","E100"
"AQ3182","2018-05-07","2018-08-03","12:30 PM","2:20 PM","Mo","1184","UGRD","BUS","272","D100"
"AQ3159","2018-05-07","2018-08-03","2:30 PM","5:20 PM","Th","1184","UGRD","BUS","374","D200"
"SWH10061","2018-05-07","2018-08-03","5:30 PM","8:20 PM","We","1184","UGRD","BUS","481","D100"
"BLU9655","2018-05-07","2018-08-03","2:30 PM","5:20 PM","We","1184","UGRD","BUS","482","D100"
"WMC2220","2018-05-07","2018-08-03","11:30 AM","2:20 PM","Tu","1184","UGRD","BUS","485","D100"
