"Room","TermStartDate","TermEndDate","StartTime","Endtime","Day","Term","CourseSubject","AcademicCareer","CourseNumber","Section"
"WMC2202","2018-05-07","2018-08-03","12:30 PM","1:20 PM","Fr","1184","BUS","UGRD","202","D101"
"WMC2202","2018-05-07","2018-08-03","1:30 PM","2:20 PM","Fr","1184","BUS","UGRD","202","D102"
"WMC2202","2018-05-07","2018-08-03","3:30 PM","4:20 PM","Fr","1184","BUS","UGRD","202","D103"
"WMC3253","2018-05-07","2018-08-03","12:30 PM","1:20 PM","We","1184","BUS","UGRD","202","D201"
"WMC3253","2018-05-07","2018-08-03","1:30 PM","2:20 PM","We","1184","BUS","UGRD","202","D202"
"WMC3255","2018-05-07","2018-08-03","3:30 PM","4:20 PM","We","1184","BUS","UGRD","202","D203"
"WMC2301","2018-05-07","2018-08-03","4:30 PM","7:20 PM","Tu","1184","BUEC","UGRD","232","OP01"
"WMC2301","2018-05-07","2018-08-03","12:30 PM","3:20 PM","We","1184","BUEC","UGRD","232","OP02"
"WMC2305","2018-05-07","2018-08-03","12:30 PM","2:20 PM","Th","1184","BUEC","UGRD","232","OP03"
"WMC2301","2018-05-07","2018-08-03","7:30 PM","10:20 PM","Tu","1184","BUEC","UGRD","232","OP06"
"WMC2301","2018-05-07","2018-08-03","6:30 PM","9:20 PM","We","1184","BUEC","UGRD","232","OP07"
"WMC2301","2018-05-07","2018-08-03","7:30 PM","9:20 PM","Th","1184","BUEC","UGRD","232","OP08"
"WMC2301","2018-05-07","2018-08-03","2:30 PM","3:20 PM","Th","1184","BUS","UGRD","237","D101"
"WMC2305","2018-05-07","2018-08-03","2:30 PM","3:20 PM","Th","1184","BUS","UGRD","237","D102"
"WMC2301","2018-05-07","2018-08-03","3:30 PM","4:20 PM","Th","1184","BUS","UGRD","237","D103"
"WMC2305","2018-05-07","2018-08-03","3:30 PM","4:20 PM","Th","1184","BUS","UGRD","237","D104"
"WMC2301","2018-05-07","2018-08-03","4:30 PM","5:20 PM","Th","1184","BUS","UGRD","237","D105"
"WMC2305","2018-05-07","2018-08-03","4:30 PM","5:20 PM","Th","1184","BUS","UGRD","237","D106"
"WMC2301","2018-05-07","2018-08-03","5:30 PM","6:20 PM","Th","1184","BUS","UGRD","237","D107"
"WMC2301","2018-05-07","2018-08-03","6:30 PM","7:20 PM","Th","1184","BUS","UGRD","237","E101"
"WMC2305","2018-05-07","2018-08-03","7:30 PM","8:20 PM","Th","1184","BUS","UGRD","237","E103"
"WMC2305","2018-05-07","2018-08-03","8:30 PM","9:20 PM","Th","1184","BUS","UGRD","237","E104"
"WMC2305","2018-05-07","2018-08-03","9:30 PM","10:20 PM","Th","1184","BUS","UGRD","237","E105"
"AQ5004","2018-05-07","2018-08-03","12:30 PM","1:20 PM","Tu","1184","BUS","UGRD","251","D101"
"WMC2503","2018-05-07","2018-08-03","12:30 PM","1:20 PM","Tu","1184","BUS","UGRD","251","D102"
"AQ5009","2018-05-07","2018-08-03","1:30 PM","2:20 PM","Tu","1184","BUS","UGRD","251","D103"
"WMC2503","2018-05-07","2018-08-03","1:30 PM","2:20 PM","Tu","1184","BUS","UGRD","251","D104"
"WMC2522","2018-05-07","2018-08-03","2:30 PM","3:20 PM","Tu","1184","BUS","UGRD","251","D105"
"AQ5039","2018-05-07","2018-08-03","2:30 PM","3:20 PM","Tu","1184","BUS","UGRD","251","D106"
"WMC2268","2018-05-07","2018-08-03","3:30 PM","4:20 PM","Tu","1184","BUS","UGRD","251","D107"
"AQ5039","2018-05-07","2018-08-03","3:30 PM","4:20 PM","Tu","1184","BUS","UGRD","251","D108"
"SUR3010","2018-05-07","2018-08-03","12:30 PM","1:20 PM","Th","1184","BUS","UGRD","251","D201"
"SUR3010","2018-05-07","2018-08-03","1:30 PM","2:20 PM","Th","1184","BUS","UGRD","251","D202"
"SUR3010","2018-05-07","2018-08-03","2:30 PM","3:20 PM","Th","1184","BUS","UGRD","251","D203"
